dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
MapDB,junit,0.1,5432.0,87.0,3478.0,3478.0,84.0,2643.0,0.0,0.464,0.437,0.701,0.839,0.92,0.966,0.966,0.966,0.966,0.966,0.966,10434.0,10568.759,13365.0,0.826,0.064,0.966,0.117,0.001,0.118,0.9655172413793104,0.6402798232695139,6,1000.0
MapDB,junit,0.2,5432.0,87.0,1105.0,1105.0,46.0,984.0,0.0,0.0,0.471,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,3315.0,7393.322,11969.0,0.509,0.102,0.529,0.012,0.222,0.234,0.5287356321839081,0.2034241531664212,6,1000.0
MapDB,junit,0.3,5432.0,87.0,2316.0,2316.0,81.0,2276.0,0.0,0.0,0.471,0.598,0.874,0.92,0.92,0.92,0.92,0.92,0.92,0.92,6948.0,7377.793,12985.25,0.815,0.107,0.931,0.052,0.005,0.057,0.9310344827586207,0.4263622974963181,6,1000.0
MapDB,junit,0.4,5432.0,87.0,3144.0,3144.0,84.0,2576.0,0.0,0.476,0.46,0.736,0.885,0.931,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.837,0.115,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,0.5,5432.0,87.0,3144.0,3144.0,84.0,2301.0,0.0,0.55,0.437,0.655,0.839,0.954,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.835,0.099,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,1.0,5432.0,87.0,4251.0,4251.0,85.0,3362.0,0.0,0.504,0.437,0.644,0.805,0.908,0.966,0.966,0.977,0.977,0.977,0.977,12753.0,12807.299,13934.0,0.833,0.087,0.977,0.175,0.001,0.176,0.9770114942528736,0.7825846833578792,6,1000.0
MapDB,mct,0.1,6091.0,23.0,2841.0,2841.0,14.0,1637.0,0.0,0.0,0.435,0.522,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8523.0,11066.478,14997.609,0.556,0.012,0.609,0.144,0.153,0.297,0.6086956521739131,0.466425874240683,6,1000.0
MapDB,mct,0.2,6091.0,23.0,1105.0,1105.0,8.0,207.0,0.0,0.0,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,3315.0,9818.478,13286.391,0.341,0.011,0.348,0.022,0.425,0.447,0.34782608695652173,0.18141520275816778,6,1000.0
MapDB,mct,0.3,6091.0,23.0,1696.0,1696.0,11.0,1267.0,0.0,0.0,0.391,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,5088.0,9674.087,13873.708,0.455,0.023,0.478,0.051,0.272,0.323,0.4782608695652174,0.2784436053193236,6,1000.0
MapDB,mct,0.4,6091.0,23.0,1232.0,1232.0,11.0,788.0,0.0,0.0,0.348,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,3696.0,8766.261,13409.255,0.46,0.023,0.478,0.027,0.272,0.299,0.4782608695652174,0.2022656378263011,6,1000.0
MapDB,mct,0.5,6091.0,23.0,6091.0,6091.0,23.0,5928.0,0.027,-0.011,0.348,0.478,0.522,0.522,0.609,0.609,0.652,0.652,0.739,1.0,18273.0,18273.0,18273.0,0.57,0.017,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
MapDB,mct,1.0,6091.0,23.0,1105.0,1105.0,11.0,681.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8517.783,13282.131,0.461,0.027,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
android,junit,0.1,5432.0,87.0,3846.0,3846.0,84.0,3308.0,0.0,0.341,0.391,0.552,0.782,0.851,0.943,0.943,0.966,0.966,0.966,0.966,11538.0,11647.379,13917.0,0.809,0.174,0.966,0.143,0.001,0.145,0.9655172413793104,0.7080265095729014,6,1000.0
android,junit,0.2,5432.0,87.0,2566.0,2566.0,77.0,2317.0,0.0,0.0,0.448,0.736,0.816,0.862,0.862,0.862,0.862,0.862,0.862,0.862,7698.0,8356.851,13418.805,0.786,0.158,0.885,0.064,0.013,0.077,0.8850574712643678,0.4723858615611193,6,1000.0
android,junit,0.3,5432.0,87.0,1232.0,1232.0,66.0,1075.0,0.0,0.0,0.391,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,3696.0,5723.586,12095.992,0.698,0.171,0.759,0.015,0.058,0.073,0.7586206896551724,0.2268041237113402,6,1000.0
