dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,junit,0.1,5432.0,87.0,4580.0,2860.0,87.0,4256.0,0.216,0.549,0.759,0.908,0.931,0.943,0.966,0.966,0.977,1.0,1.0,1.0,10300.0,10300.0,10300.0,0.922,0.319,1.0,0.203,0.0,0.203,1.0,0.8431516936671576,1.0,110,1.05
MapDB,junit,0.2,5432.0,87.0,3401.0,2860.0,84.0,2468.0,0.0,0.572,0.724,0.862,0.885,0.954,0.966,0.966,0.966,0.966,0.966,0.966,9121.0,9261.069,12167.5,0.902,0.331,0.966,0.112,0.001,0.113,0.9655172413793104,0.6261045655375552,1.0,110,1.05
MapDB,junit,0.3,5432.0,87.0,3604.0,2860.0,87.0,2831.0,0.479,0.566,0.747,0.839,0.92,0.954,0.977,1.0,1.0,1.0,1.0,1.0,9324.0,9324.0,9324.0,0.92,0.28,1.0,0.126,0.0,0.126,1.0,0.6634756995581738,1.0,110,1.05
MapDB,junit,0.4,5432.0,87.0,3350.0,2860.0,83.0,2391.0,0.0,0.51,0.747,0.862,0.931,0.943,0.954,0.954,0.954,0.954,0.954,0.954,9070.0,9261.448,12713.5,0.897,0.288,0.954,0.109,0.002,0.111,0.9540229885057471,0.6167157584683358,1.0,110,1.05
MapDB,junit,0.5,5432.0,87.0,3212.0,2860.0,83.0,2126.0,0.0,0.559,0.736,0.839,0.862,0.954,0.954,0.954,0.954,0.954,0.954,0.954,8932.0,9136.138,12817.0,0.888,0.27,0.954,0.1,0.002,0.102,0.9540229885057471,0.5913107511045655,1.0,110,1.05
MapDB,junit,1.0,5432.0,87.0,4172.0,2860.0,87.0,3675.0,0.323,0.483,0.632,0.793,0.885,0.931,0.966,0.977,1.0,1.0,1.0,1.0,9892.0,9892.0,9892.0,0.892,0.231,1.0,0.169,0.0,0.169,1.0,0.7680412371134021,1.0,110,1.05
MapDB,mct,0.1,6091.0,23.0,3971.0,2970.0,17.0,3193.0,0.0,0.0,0.522,0.609,0.652,0.652,0.696,0.739,0.739,0.739,0.739,0.739,9911.0,11017.087,14018.5,0.672,0.313,0.739,0.281,0.068,0.349,0.7391304347826086,0.6519454933508455,1.0,110,1.05
MapDB,mct,0.2,6091.0,23.0,3559.0,2970.0,19.0,2502.0,0.0,0.0,0.522,0.609,0.652,0.652,0.826,0.826,0.826,0.826,0.826,0.826,9499.0,10379.696,13930.0,0.724,0.202,0.826,0.226,0.03,0.256,0.8260869565217391,0.5843047118699721,1.0,110,1.05
MapDB,mct,0.3,6091.0,23.0,2970.0,2970.0,12.0,403.0,0.0,0.0,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,8910.0,11895.304,15145.904,0.514,0.218,0.522,0.157,0.229,0.386,0.5217391304347826,0.4876046626169759,1.0,110,1.05
MapDB,mct,0.4,6091.0,23.0,4888.0,2970.0,19.0,4512.0,0.0,0.0,0.478,0.478,0.478,0.522,0.565,0.609,0.609,0.826,0.826,0.826,10828.0,11246.435,12933.25,0.604,0.183,0.826,0.426,0.03,0.456,0.8260869565217391,0.8024954851420129,1.0,110,1.05
MapDB,mct,0.5,6091.0,23.0,5396.0,2970.0,22.0,5174.0,0.0,0.101,0.478,0.565,0.565,0.652,0.826,0.87,0.87,0.913,0.913,0.913,11336.0,11396.435,11336.0,0.744,0.133,0.957,0.519,0.002,0.521,0.9565217391304348,0.8858972254145461,1.0,110,1.05
MapDB,mct,1.0,6091.0,23.0,4650.0,2970.0,16.0,4186.0,0.0,0.0,0.478,0.522,0.609,0.609,0.609,0.609,0.696,0.696,0.696,0.696,10590.0,11467.13,13426.969,0.605,0.12,0.696,0.385,0.093,0.478,0.6956521739130435,0.7634214414710229,1.0,110,1.05
android,junit,0.1,5432.0,87.0,3182.0,2860.0,80.0,1970.0,0.0,0.0,0.793,0.828,0.885,0.92,0.92,0.92,0.92,0.92,0.92,0.92,8902.0,9264.069,13331.688,0.874,0.365,0.92,0.098,0.006,0.105,0.9195402298850575,0.5857879234167894,1.0,110,1.05
android,junit,0.2,5432.0,87.0,2955.0,2860.0,79.0,1261.0,0.0,0.0,0.724,0.793,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,8675.0,9130.54,13590.297,0.867,0.372,0.908,0.085,0.008,0.093,0.9080459770114943,0.5439985272459499,1.0,110,1.05
android,junit,0.3,5432.0,87.0,3436.0,2860.0,83.0,2514.0,0.0,0.487,0.77,0.839,0.851,0.92,0.954,0.954,0.954,0.954,0.954,0.954,9156.0,9339.54,12649.0,0.888,0.379,0.954,0.114,0.002,0.117,0.9540229885057471,0.6325478645066274,1.0,110,1.05
android,junit,0.4,5432.0,87.0,3195.0,2860.0,82.0,2047.0,0.0,0.0,0.77,0.828,0.862,0.943,0.943,0.943,0.943,0.943,0.943,0.943,8915.0,9172.126,13109.375,0.885,0.365,0.943,0.099,0.003,0.102,0.9425287356321839,0.5881811487481591,1.0,110,1.05
android,junit,0.5,5432.0,87.0,3621.0,2860.0,84.0,2858.0,0.0,0.482,0.77,0.839,0.885,0.931,0.954,0.966,0.966,0.966,0.966,0.966,9341.0,9465.897,12057.5,0.901,0.377,0.966,0.127,0.001,0.128,0.9655172413793104,0.6666053019145802,1.0,110,1.05
android,junit,1.0,5432.0,87.0,3419.0,2860.0,82.0,2514.0,0.0,0.0,0.793,0.816,0.851,0.897,0.943,0.943,0.943,0.943,0.943,0.943,9139.0,9370.379,12913.375,0.88,0.359,0.943,0.113,0.003,0.117,0.9425287356321839,0.6294182621502209,1.0,110,1.05
android,mct,0.1,6091.0,23.0,3256.0,2970.0,15.0,1718.0,0.0,0.0,0.565,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,9196.0,11168.174,14821.703,0.629,0.299,0.652,0.189,0.121,0.31,0.6521739130434783,0.5345591856837958,1.0,110,1.05
android,mct,0.2,6091.0,23.0,4398.0,2970.0,22.0,3782.0,0.0,0.329,0.696,0.826,0.87,0.87,0.913,0.913,0.957,0.957,0.957,0.957,10338.0,10485.217,10338.0,0.867,0.261,0.957,0.345,0.002,0.346,0.9565217391304348,0.7220489246429158,1.0,110,1.05
android,mct,0.3,6091.0,23.0,3518.0,2970.0,14.0,2506.0,0.0,0.0,0.478,0.478,0.522,0.565,0.609,0.609,0.609,0.609,0.609,0.609,9458.0,11471.652,14583.898,0.562,0.214,0.609,0.22,0.153,0.374,0.6086956521739131,0.5775734690527007,1.0,110,1.05
android,mct,0.4,6091.0,23.0,3061.0,2970.0,18.0,1067.0,0.0,0.0,0.522,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,9001.0,10318.391,14682.25,0.742,0.23,0.783,0.167,0.047,0.214,0.782608695652174,0.5025447381382367,1.0,110,1.05
android,mct,0.5,6091.0,23.0,3897.0,2970.0,17.0,3082.0,0.0,0.0,0.478,0.522,0.652,0.696,0.696,0.739,0.739,0.739,0.739,0.739,9837.0,10981.696,14087.875,0.653,0.232,0.739,0.271,0.068,0.339,0.7391304347826086,0.6397964209489411,1.0,110,1.05
android,mct,1.0,6091.0,23.0,4219.0,2970.0,21.0,3543.0,0.0,0.0,0.478,0.478,0.522,0.826,0.87,0.913,0.913,0.913,0.913,0.913,10159.0,10484.565,12031.0,0.733,0.135,0.913,0.317,0.008,0.325,0.9130434782608695,0.6926613035626334,1.0,110,1.05
anttlr4,junit,0.1,5432.0,87.0,3128.0,2860.0,83.0,1770.0,0.0,0.624,0.759,0.874,0.943,0.954,0.954,0.954,0.954,0.954,0.954,0.954,8848.0,9059.862,12880.0,0.909,0.349,0.954,0.095,0.002,0.097,0.9540229885057471,0.5758468335787923,1.0,110,1.05
anttlr4,junit,0.2,5432.0,87.0,3089.0,2860.0,83.0,1767.0,0.0,0.625,0.759,0.839,0.931,0.954,0.954,0.954,0.954,0.954,0.954,0.954,8809.0,9024.448,12909.25,0.904,0.353,0.954,0.092,0.002,0.095,0.9540229885057471,0.5686671575846833,1.0,110,1.05
anttlr4,junit,0.3,5432.0,87.0,3261.0,2860.0,84.0,2164.0,0.0,0.556,0.839,0.839,0.931,0.966,0.966,0.966,0.966,0.966,0.966,0.966,8981.0,9130.724,12237.5,0.911,0.319,0.966,0.103,0.001,0.104,0.9655172413793104,0.6003313696612665,1.0,110,1.05
