dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
MapDB,junit,0.1,5432.0,87.0,3144.0,3144.0,84.0,2362.0,0.0,0.515,0.46,0.69,0.839,0.943,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.836,0.195,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,0.2,5432.0,87.0,3478.0,3478.0,85.0,2851.0,0.0,0.468,0.437,0.563,0.839,0.943,0.954,0.977,0.977,0.977,0.977,0.977,10434.0,10523.839,12388.0,0.818,0.09,0.977,0.117,0.001,0.118,0.9770114942528736,0.6402798232695139,6,1000.0
MapDB,junit,0.3,5432.0,87.0,3144.0,3144.0,84.0,2427.0,0.0,0.503,0.437,0.621,0.816,0.931,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.834,0.107,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,0.4,5432.0,87.0,3846.0,3846.0,85.0,3469.0,0.0,0.517,0.483,0.54,0.828,0.931,0.966,0.966,0.977,0.977,0.977,0.977,11538.0,11610.92,13124.0,0.835,0.127,0.977,0.143,0.001,0.144,0.9770114942528736,0.7080265095729014,6,1000.0
MapDB,junit,0.5,5432.0,87.0,1883.0,1883.0,80.0,1468.0,0.0,0.0,0.46,0.655,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,5649.0,6220.103,12636.094,0.82,0.156,0.92,0.034,0.006,0.041,0.9195402298850575,0.34664948453608246,6,1000.0
MapDB,junit,1.0,5432.0,87.0,4251.0,4251.0,85.0,3362.0,0.0,0.504,0.437,0.644,0.805,0.908,0.966,0.966,0.977,0.977,0.977,0.977,12753.0,12807.299,13934.0,0.833,0.087,0.977,0.175,0.001,0.176,0.9770114942528736,0.7825846833578792,6,1000.0
MapDB,mct,0.1,6091.0,23.0,1105.0,1105.0,10.0,438.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8951.348,13284.565,0.42,0.011,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
MapDB,mct,0.2,6091.0,23.0,1105.0,1105.0,10.0,1104.0,0.0,0.0,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,3315.0,8951.348,13284.565,0.419,0.044,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
MapDB,mct,0.3,6091.0,23.0,1105.0,1105.0,9.0,821.0,0.0,0.0,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,3315.0,9384.913,13285.783,0.382,0.019,0.391,0.022,0.371,0.392,0.391304347826087,0.18141520275816778,6,1000.0
MapDB,mct,0.4,6091.0,23.0,1372.0,1372.0,11.0,752.0,0.0,0.0,0.261,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,4116.0,9040.174,13549.392,0.441,0.006,0.478,0.034,0.272,0.306,0.4782608695652174,0.22525036939747167,6,1000.0
