dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,junit,0.1,5432.0,87.0,3042.0,2860.0,81.0,1545.0,0.0,0.0,0.747,0.874,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,8762.0,9091.655,13392.625,0.888,0.348,0.931,0.09,0.005,0.094,0.9310344827586207,0.5600147275405007,1.0,110,1.05
MapDB,junit,0.2,5432.0,87.0,4666.0,2860.0,87.0,4371.0,0.195,0.491,0.782,0.851,0.897,0.931,0.966,0.966,0.977,0.977,0.977,0.977,10386.0,10386.0,10386.0,0.913,0.283,1.0,0.211,0.0,0.211,1.0,0.8589837997054491,1.0,110,1.05
MapDB,junit,0.3,5432.0,87.0,3329.0,2860.0,85.0,2271.0,0.0,0.572,0.667,0.828,0.908,0.966,0.977,0.977,0.977,0.977,0.977,0.977,9049.0,9145.69,11152.0,0.902,0.322,0.977,0.107,0.001,0.108,0.9770114942528736,0.6128497790868925,1.0,110,1.05
MapDB,junit,0.4,5432.0,87.0,3350.0,2860.0,83.0,2405.0,0.0,0.507,0.724,0.839,0.897,0.943,0.954,0.954,0.954,0.954,0.954,0.954,9070.0,9261.448,12713.5,0.891,0.299,0.954,0.109,0.002,0.111,0.9540229885057471,0.6167157584683358,1.0,110,1.05
MapDB,junit,0.5,5432.0,87.0,3862.0,2860.0,87.0,3243.0,0.403,0.413,0.701,0.828,0.897,0.931,0.943,1.0,1.0,1.0,1.0,1.0,9582.0,9582.0,9582.0,0.901,0.224,1.0,0.145,0.0,0.145,1.0,0.7109720176730486,1.0,110,1.05
MapDB,junit,1.0,5432.0,87.0,4172.0,2860.0,87.0,3675.0,0.323,0.483,0.632,0.793,0.885,0.931,0.966,0.977,1.0,1.0,1.0,1.0,9892.0,9892.0,9892.0,0.892,0.231,1.0,0.169,0.0,0.169,1.0,0.7680412371134021,1.0,110,1.05
MapDB,mct,0.1,6091.0,23.0,3127.0,2970.0,17.0,1150.0,0.0,0.0,0.609,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,9067.0,10613.435,14809.75,0.712,0.33,0.739,0.174,0.068,0.242,0.7391304347826086,0.5133803973075028,1.0,110,1.05
MapDB,mct,0.2,6091.0,23.0,3625.0,2970.0,16.0,2585.0,0.0,0.0,0.435,0.522,0.522,0.565,0.696,0.696,0.696,0.696,0.696,0.696,9565.0,11066.043,14419.938,0.609,0.176,0.696,0.234,0.093,0.327,0.6956521739130435,0.5951403710392382,1.0,110,1.05
MapDB,mct,0.3,6091.0,23.0,2974.0,2970.0,13.0,651.0,0.0,0.0,0.522,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,8914.0,11624.435,15135.824,0.553,0.26,0.565,0.158,0.189,0.347,0.5652173913043478,0.48826136923329505,1.0,110,1.05
MapDB,mct,0.4,6091.0,23.0,5395.0,2970.0,22.0,5165.0,0.0,0.102,0.478,0.478,0.522,0.783,0.826,0.87,0.913,0.913,0.913,0.913,11335.0,11395.522,11335.0,0.732,0.189,0.957,0.519,0.002,0.52,0.9565217391304348,0.8857330487604662,1.0,110,1.05
