dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,junit,0.1,5432.0,87.0,4813.0,2860.0,86.0,4554.0,0.0,0.561,0.782,0.862,0.908,0.954,0.966,0.966,0.977,0.977,0.977,0.977,10533.0,10547.23,10533.0,0.916,0.339,0.989,0.225,0.0,0.225,0.9885057471264368,0.8860456553755522,1.0,110,1.05
MapDB,junit,0.2,5432.0,87.0,3003.0,2860.0,79.0,1455.0,0.0,0.0,0.805,0.816,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,8723.0,9169.713,13543.047,0.869,0.345,0.908,0.087,0.008,0.096,0.9080459770114943,0.5528350515463918,1.0,110,1.05
MapDB,junit,0.3,5432.0,87.0,4780.0,2860.0,87.0,4516.0,0.169,0.464,0.782,0.839,0.931,0.943,0.966,0.966,0.977,0.977,0.977,0.977,10500.0,10500.0,10500.0,0.913,0.293,1.0,0.221,0.0,0.221,1.0,0.8799705449189985,1.0,110,1.05
MapDB,junit,0.4,5432.0,87.0,4153.0,2860.0,86.0,3676.0,0.0,0.502,0.724,0.862,0.897,0.931,0.966,0.966,0.989,0.989,0.989,0.989,9873.0,9902.402,9873.0,0.906,0.298,0.989,0.167,0.0,0.167,0.9885057471264368,0.7645434462444771,1.0,110,1.05
MapDB,junit,0.5,5432.0,87.0,2995.0,2860.0,81.0,1581.0,0.0,0.0,0.724,0.851,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,8715.0,9051.138,13436.688,0.876,0.284,0.931,0.087,0.005,0.092,0.9310344827586207,0.5513622974963182,1.0,110,1.05
MapDB,junit,1.0,5432.0,87.0,4172.0,2860.0,87.0,3675.0,0.323,0.483,0.632,0.793,0.885,0.931,0.966,0.977,1.0,1.0,1.0,1.0,9892.0,9892.0,9892.0,0.892,0.231,1.0,0.169,0.0,0.169,1.0,0.7680412371134021,1.0,110,1.05
MapDB,mct,0.1,6091.0,23.0,6091.0,2970.0,23.0,5868.0,0.037,-0.013,0.652,0.696,0.696,0.696,0.696,0.783,0.783,0.783,0.783,1.0,12031.0,12031.0,12031.0,0.732,0.265,1.0,0.661,0.0,0.661,1.0,1.0,1.0,110,1.05
MapDB,mct,0.2,6091.0,23.0,3000.0,2970.0,14.0,1027.0,0.0,0.0,0.522,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8940.0,11359.043,15097.852,0.587,0.159,0.609,0.16,0.153,0.313,0.6086956521739131,0.49252996223936957,1.0,110,1.05
MapDB,mct,0.3,6091.0,23.0,6076.0,2970.0,23.0,5042.0,0.172,0.138,0.435,0.565,0.565,0.652,0.652,0.739,0.783,0.783,1.0,1.0,12016.0,12016.0,12016.0,0.692,0.136,1.0,0.658,0.0,0.658,1.0,0.9975373501888032,1.0,110,1.05
MapDB,mct,0.4,6091.0,23.0,3152.0,2970.0,16.0,1593.0,0.0,0.0,0.478,0.478,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,9092.0,10880.957,14878.156,0.632,0.22,0.696,0.177,0.093,0.27,0.6956521739130435,0.5174848136594976,1.0,110,1.05
MapDB,mct,0.5,6091.0,23.0,4766.0,2970.0,20.0,4363.0,0.0,0.0,0.435,0.478,0.522,0.565,0.783,0.826,0.826,0.826,0.826,0.826,10706.0,11051.652,12693.5,0.683,0.123,0.87,0.405,0.017,0.422,0.8695652173913043,0.7824659333442785,1.0,110,1.05
MapDB,mct,1.0,6091.0,23.0,4650.0,2970.0,16.0,4186.0,0.0,0.0,0.478,0.522,0.609,0.609,0.609,0.609,0.696,0.696,0.696,0.696,10590.0,11467.13,13426.969,0.605,0.12,0.696,0.385,0.093,0.478,0.6956521739130435,0.7634214414710229,1.0,110,1.05
android,junit,0.1,5432.0,87.0,3586.0,2860.0,81.0,2753.0,0.0,0.0,0.793,0.816,0.862,0.862,0.92,0.931,0.931,0.931,0.931,0.931,9306.0,9560.621,12882.625,0.872,0.386,0.931,0.125,0.005,0.129,0.9310344827586207,0.6601620029455081,1.0,110,1.05
android,junit,0.2,5432.0,87.0,3408.0,2860.0,82.0,2477.0,0.0,0.0,0.77,0.828,0.885,0.908,0.943,0.943,0.943,0.943,0.943,0.943,9128.0,9360.644,12923.0,0.887,0.376,0.943,0.113,0.003,0.116,0.9425287356321839,0.6273932253313697,1.0,110,1.05
android,junit,0.3,5432.0,87.0,3344.0,2860.0,85.0,2298.0,0.0,0.548,0.747,0.851,0.885,0.931,0.977,0.977,0.977,0.977,0.977,0.977,9064.0,9160.0,11152.0,0.906,0.334,0.977,0.108,0.001,0.109,0.9770114942528736,0.6156111929307806,1.0,110,1.05
android,junit,0.4,5432.0,87.0,3235.0,2860.0,81.0,2176.0,0.0,0.0,0.759,0.862,0.885,0.92,0.931,0.931,0.931,0.931,0.931,0.931,8955.0,9258.034,13211.688,0.884,0.383,0.931,0.101,0.005,0.106,0.9310344827586207,0.5955449189985272,1.0,110,1.05
android,junit,0.5,5432.0,87.0,3058.0,2860.0,75.0,1758.0,0.0,0.0,0.747,0.839,0.839,0.862,0.862,0.862,0.862,0.862,0.862,0.862,8778.0,9432.897,13523.682,0.834,0.376,0.862,0.091,0.019,0.11,0.8620689655172413,0.562960235640648,1.0,110,1.05
android,junit,1.0,5432.0,87.0,3419.0,2860.0,82.0,2514.0,0.0,0.0,0.793,0.816,0.851,0.897,0.943,0.943,0.943,0.943,0.943,0.943,9139.0,9370.379,12913.375,0.88,0.359,0.943,0.113,0.003,0.117,0.9425287356321839,0.6294182621502209,1.0,110,1.05
android,mct,0.1,6091.0,23.0,4443.0,2970.0,21.0,3892.0,0.0,0.0,0.609,0.652,0.826,0.87,0.87,0.87,0.913,0.913,0.913,0.913,10383.0,10669.609,12031.0,0.815,0.261,0.913,0.352,0.008,0.359,0.9130434782608695,0.7294368740765064,1.0,110,1.05
android,mct,0.2,6091.0,23.0,6072.0,2970.0,23.0,3723.0,0.389,0.414,0.739,0.783,0.87,0.87,0.913,0.957,1.0,1.0,1.0,1.0,12012.0,12012.0,12012.0,0.891,0.186,1.0,0.657,0.0,0.657,1.0,0.996880643572484,1.0,110,1.05
android,mct,0.3,6091.0,23.0,4749.0,2970.0,22.0,4350.0,0.0,0.236,0.826,0.826,0.826,0.826,0.826,0.913,0.913,0.913,0.913,0.913,10689.0,10805.696,10689.0,0.851,0.223,0.957,0.402,0.002,0.404,0.9565217391304348,0.7796749302249221,1.0,110,1.05
android,mct,0.4,6091.0,23.0,2993.0,2970.0,14.0,579.0,0.0,0.0,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8933.0,11357.522,15104.797,0.595,0.195,0.609,0.16,0.153,0.313,0.6086956521739131,0.49138072566081104,1.0,110,1.05
android,mct,0.5,6091.0,23.0,3794.0,2970.0,18.0,2833.0,0.0,0.0,0.435,0.522,0.522,0.565,0.783,0.783,0.783,0.783,0.783,0.783,9734.0,10732.696,14040.875,0.648,0.219,0.783,0.256,0.047,0.304,0.782608695652174,0.6228862255787228,1.0,110,1.05
