dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
MapDB,junit,0.1,5432.0,87.0,1105.0,1105.0,47.0,847.0,0.0,0.0,0.425,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,3315.0,7293.851,11969.0,0.519,0.122,0.54,0.012,0.211,0.223,0.5402298850574713,0.2034241531664212,6,1000.0
MapDB,junit,0.2,5432.0,87.0,3846.0,3846.0,85.0,3209.0,0.0,0.436,0.437,0.575,0.828,0.885,0.943,0.977,0.977,0.977,0.977,0.977,11538.0,11610.92,13124.0,0.823,0.103,0.977,0.143,0.001,0.144,0.9770114942528736,0.7080265095729014,6,1000.0
MapDB,junit,0.3,5432.0,87.0,3144.0,3144.0,84.0,2640.0,0.0,0.464,0.414,0.724,0.839,0.92,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.839,0.086,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,0.4,5432.0,87.0,2316.0,2316.0,82.0,2053.0,0.0,0.0,0.437,0.575,0.874,0.943,0.943,0.943,0.943,0.943,0.943,0.943,6948.0,7306.161,12790.5,0.82,0.098,0.943,0.052,0.003,0.055,0.9425287356321839,0.4263622974963181,6,1000.0
MapDB,junit,0.5,5432.0,87.0,3144.0,3144.0,84.0,2238.0,0.0,0.549,0.414,0.644,0.839,0.943,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.826,0.07,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,1.0,5432.0,87.0,4251.0,4251.0,85.0,3362.0,0.0,0.504,0.437,0.644,0.805,0.908,0.966,0.966,0.977,0.977,0.977,0.977,12753.0,12807.299,13934.0,0.833,0.087,0.977,0.175,0.001,0.176,0.9770114942528736,0.7825846833578792,6,1000.0
MapDB,mct,0.1,6091.0,23.0,6091.0,6091.0,23.0,5556.0,0.088,0.038,0.304,0.478,0.522,0.609,0.696,0.696,0.696,0.739,0.913,1.0,18273.0,18273.0,18273.0,0.62,0.01,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
MapDB,mct,0.2,6091.0,23.0,1696.0,1696.0,11.0,1272.0,0.0,0.0,0.391,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,5088.0,9674.087,13873.708,0.446,0.009,0.478,0.051,0.272,0.323,0.4782608695652174,0.2784436053193236,6,1000.0
MapDB,mct,0.3,6091.0,23.0,2566.0,2566.0,14.0,1682.0,0.0,0.0,0.391,0.478,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,7698.0,10456.696,14720.461,0.551,0.013,0.609,0.117,0.153,0.27,0.6086956521739131,0.4212772943687408,6,1000.0
MapDB,mct,0.4,6091.0,23.0,1105.0,1105.0,10.0,731.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,8951.348,13284.565,0.422,0.017,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
MapDB,mct,0.5,6091.0,23.0,1105.0,1105.0,11.0,606.0,0.0,0.0,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,3315.0,8517.783,13282.131,0.457,0.017,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
MapDB,mct,1.0,6091.0,23.0,1105.0,1105.0,11.0,681.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8517.783,13282.131,0.461,0.027,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
android,junit,0.1,5432.0,87.0,3144.0,3144.0,82.0,3108.0,0.0,0.0,0.437,0.575,0.816,0.931,0.931,0.931,0.931,0.931,0.931,0.931,9432.0,9694.989,13722.0,0.815,0.164,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,6,1000.0
android,junit,0.2,5432.0,87.0,2089.0,2089.0,73.0,1641.0,0.0,0.0,0.414,0.736,0.816,0.816,0.816,0.816,0.816,0.816,0.816,0.816,6267.0,7342.908,12952.184,0.762,0.103,0.839,0.042,0.026,0.068,0.8390804597701149,0.38457290132547867,6,1000.0
android,junit,0.3,5432.0,87.0,3144.0,3144.0,82.0,3111.0,0.0,0.0,0.414,0.644,0.839,0.862,0.885,0.885,0.885,0.885,0.885,0.885,9432.0,9694.989,13722.0,0.806,0.146,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,6,1000.0
android,junit,0.4,5432.0,87.0,3144.0,3144.0,82.0,2592.0,0.0,0.0,0.448,0.713,0.816,0.862,0.943,0.943,0.943,0.943,0.943,0.943,9432.0,9694.989,13722.0,0.821,0.161,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,6,1000.0
android,junit,0.5,5432.0,87.0,3478.0,3478.0,82.0,2755.0,0.0,0.0,0.506,0.678,0.793,0.839,0.885,0.943,0.943,0.943,0.943,0.943,10434.0,10658.598,14097.75,0.81,0.12,0.943,0.117,0.003,0.121,0.9425287356321839,0.6402798232695139,6,1000.0
android,junit,1.0,5432.0,87.0,2089.0,2089.0,74.0,1771.0,0.0,0.0,0.437,0.713,0.816,0.816,0.816,0.816,0.816,0.816,0.816,0.816,6267.0,7266.057,12951.368,0.767,0.129,0.851,0.042,0.022,0.065,0.8505747126436781,0.38457290132547867,6,1000.0
android,mct,0.1,6091.0,23.0,6091.0,6091.0,23.0,5197.0,0.147,0.097,0.174,0.522,0.565,0.609,0.696,0.696,0.87,0.913,1.0,1.0,18273.0,18273.0,18273.0,0.649,0.063,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
android,mct,0.2,6091.0,23.0,5188.0,5188.0,17.0,3470.0,0.0,0.0,0.087,0.304,0.478,0.565,0.609,0.739,0.739,0.739,0.739,0.739,15564.0,16035.13,17313.562,0.547,0.008,0.739,0.48,0.068,0.548,0.7391304347826086,0.8517484813659497,6,1000.0
android,mct,0.3,6091.0,23.0,6091.0,6091.0,23.0,5194.0,0.147,0.099,0.174,0.391,0.391,0.565,0.565,0.652,0.739,0.739,1.0,1.0,18273.0,18273.0,18273.0,0.589,0.006,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
android,mct,0.4,6091.0,23.0,3478.0,3478.0,17.0,2249.0,0.0,0.0,0.174,0.522,0.652,0.739,0.739,0.739,0.739,0.739,0.739,0.739,10434.0,11797.304,15496.688,0.629,0.009,0.739,0.216,0.068,0.284,0.7391304347826086,0.5710064028895091,6,1000.0
android,mct,0.5,6091.0,23.0,2841.0,2841.0,14.0,1825.0,0.0,0.0,0.348,0.522,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8523.0,11066.478,14997.609,0.542,0.008,0.609,0.144,0.153,0.297,0.6086956521739131,0.466425874240683,6,1000.0
android,mct,1.0,6091.0,23.0,6091.0,6091.0,23.0,5085.0,0.165,0.179,0.261,0.304,0.391,0.522,0.609,0.826,0.826,0.957,1.0,1.0,18273.0,18273.0,18273.0,0.626,0.011,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
anttlr4,junit,0.1,5432.0,87.0,3846.0,3846.0,84.0,3328.0,0.0,0.338,0.46,0.655,0.816,0.862,0.943,0.943,0.966,0.966,0.966,0.966,11538.0,11647.379,13917.0,0.822,0.173,0.966,0.143,0.001,0.145,0.9655172413793104,0.7080265095729014,6,1000.0
anttlr4,junit,0.2,5432.0,87.0,2566.0,2566.0,81.0,2337.0,0.0,0.0,0.46,0.678,0.874,0.908,0.908,0.908,0.908,0.908,0.908,0.908,7698.0,8093.31,13250.875,0.819,0.149,0.931,0.064,0.005,0.069,0.9310344827586207,0.4723858615611193,6,1000.0
anttlr4,junit,0.3,5432.0,87.0,3144.0,3144.0,82.0,2580.0,0.0,0.0,0.437,0.598,0.862,0.908,0.943,0.943,0.943,0.943,0.943,0.943,9432.0,9694.989,13722.0,0.822,0.113,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,6,1000.0
anttlr4,junit,0.4,5432.0,87.0,2566.0,2566.0,82.0,2156.0,0.0,0.0,0.471,0.678,0.874,0.943,0.943,0.943,0.943,0.943,0.943,0.943,7698.0,8027.425,13071.75,0.833,0.205,0.943,0.064,0.003,0.067,0.9425287356321839,0.4723858615611193,6,1000.0
anttlr4,junit,0.5,5432.0,87.0,1883.0,1883.0,76.0,1808.0,0.0,0.0,0.506,0.632,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,5649.0,6546.448,12740.068,0.788,0.164,0.874,0.034,0.016,0.05,0.8735632183908046,0.34664948453608246,6,1000.0
anttlr4,junit,1.0,5432.0,87.0,3144.0,3144.0,82.0,2129.0,0.0,0.0,0.483,0.69,0.851,0.943,0.943,0.943,0.943,0.943,0.943,0.943,9432.0,9694.989,13722.0,0.832,0.14,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,6,1000.0
anttlr4,mct,0.1,6091.0,23.0,1105.0,1105.0,12.0,623.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8084.217,13277.262,0.486,0.064,0.522,0.022,0.229,0.25,0.5217391304347826,0.18141520275816778,6,1000.0
anttlr4,mct,0.2,6091.0,23.0,2089.0,2089.0,14.0,1365.0,0.0,0.0,0.391,0.478,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,6267.0,9399.0,14239.734,0.556,0.054,0.609,0.078,0.153,0.231,0.6086956521739131,0.342965030372681,6,1000.0
anttlr4,mct,0.3,6091.0,23.0,1105.0,1105.0,10.0,370.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8951.348,13284.565,0.425,0.033,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
anttlr4,mct,0.4,6091.0,23.0,1883.0,1883.0,12.0,1122.0,0.0,0.0,0.391,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,5649.0,9674.043,14056.781,0.494,0.036,0.522,0.063,0.229,0.292,0.5217391304347826,0.3091446396322443,6,1000.0
anttlr4,mct,0.5,6091.0,23.0,1105.0,1105.0,10.0,524.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8951.348,13284.565,0.428,0.055,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
anttlr4,mct,1.0,6091.0,23.0,1105.0,1105.0,11.0,1103.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,8517.783,13282.131,0.461,0.049,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
broadleaf,junit,0.1,5432.0,87.0,1883.0,1883.0,74.0,1823.0,0.0,0.0,0.471,0.69,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,5649.0,6709.621,12745.267,0.771,0.121,0.851,0.034,0.022,0.057,0.8505747126436781,0.34664948453608246,6,1000.0
broadleaf,junit,0.2,5432.0,87.0,4697.0,4697.0,87.0,3874.0,0.287,0.339,0.46,0.621,0.77,0.828,0.92,0.943,0.989,1.0,1.0,1.0,14091.0,14091.0,14091.0,0.825,0.162,1.0,0.214,0.0,0.214,1.0,0.8646907216494846,6,1000.0
broadleaf,junit,0.3,5432.0,87.0,4251.0,4251.0,87.0,3778.0,0.304,0.402,0.517,0.678,0.805,0.92,0.92,0.954,1.0,1.0,1.0,1.0,12753.0,12753.0,12753.0,0.842,0.177,1.0,0.175,0.0,0.175,1.0,0.7825846833578792,6,1000.0
broadleaf,junit,0.4,5432.0,87.0,2089.0,2089.0,72.0,1586.0,0.0,0.0,0.506,0.609,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,6267.0,7419.759,12952.592,0.743,0.163,0.828,0.042,0.03,0.072,0.8275862068965517,0.38457290132547867,6,1000.0
broadleaf,junit,0.5,5432.0,87.0,1105.0,1105.0,50.0,1104.0,0.0,0.0,0.506,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,3315.0,6995.437,11969.0,0.552,0.132,0.575,0.012,0.181,0.193,0.5747126436781609,0.2034241531664212,6,1000.0
broadleaf,junit,1.0,5432.0,87.0,1232.0,1232.0,54.0,898.0,0.0,0.0,0.54,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,3696.0,6882.207,12096.0,0.593,0.135,0.621,0.015,0.144,0.159,0.6206896551724138,0.2268041237113402,6,1000.0
broadleaf,mct,0.1,6091.0,23.0,4697.0,4697.0,17.0,3479.0,0.0,0.0,0.174,0.478,0.609,0.652,0.652,0.739,0.739,0.739,0.739,0.739,14091.0,14818.304,16791.875,0.591,0.007,0.739,0.393,0.068,0.461,0.7391304347826086,0.7711377442127729,6,1000.0
broadleaf,mct,0.2,6091.0,23.0,3478.0,3478.0,15.0,2201.0,0.0,0.0,0.348,0.478,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,10434.0,12251.739,15619.172,0.576,0.01,0.652,0.216,0.121,0.336,0.6521739130434783,0.5710064028895091,6,1000.0
broadleaf,mct,0.3,6091.0,23.0,1526.0,1526.0,12.0,936.0,0.0,0.0,0.348,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,4578.0,8944.522,13699.084,0.493,0.026,0.522,0.041,0.229,0.27,0.5217391304347826,0.25053357412575933,6,1000.0
broadleaf,mct,0.4,6091.0,23.0,2316.0,2316.0,15.0,1682.0,0.0,0.0,0.478,0.565,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,6948.0,9574.087,14439.016,0.599,0.025,0.652,0.096,0.121,0.217,0.6521739130434783,0.3802331308487933,6,1000.0
broadleaf,mct,0.5,6091.0,23.0,2566.0,2566.0,15.0,1742.0,0.0,0.0,0.348,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,7698.0,10150.174,14692.922,0.592,0.022,0.652,0.117,0.121,0.238,0.6521739130434783,0.4212772943687408,6,1000.0
broadleaf,mct,1.0,6091.0,23.0,2316.0,2316.0,15.0,1527.0,0.0,0.0,0.391,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,6948.0,9574.087,14439.016,0.595,0.032,0.652,0.096,0.121,0.217,0.6521739130434783,0.3802331308487933,6,1000.0
ceylon,junit,0.1,5432.0,87.0,1526.0,1526.0,69.0,1374.0,0.0,0.0,0.448,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,4578.0,6194.276,12389.94,0.726,0.116,0.793,0.023,0.043,0.065,0.7931034482758621,0.2809278350515464,6,1000.0
ceylon,junit,0.2,5432.0,87.0,2089.0,2089.0,73.0,1888.0,0.0,0.0,0.448,0.609,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,6267.0,7342.908,12952.184,0.749,0.111,0.839,0.042,0.026,0.068,0.8390804597701149,0.38457290132547867,6,1000.0
ceylon,junit,0.3,5432.0,87.0,1883.0,1883.0,68.0,1319.0,0.0,0.0,0.437,0.655,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782,5649.0,7199.138,12746.973,0.709,0.094,0.782,0.034,0.048,0.082,0.7816091954022989,0.34664948453608246,6,1000.0
ceylon,junit,0.4,5432.0,87.0,4697.0,4697.0,87.0,4352.0,0.199,0.422,0.437,0.563,0.736,0.839,0.897,0.966,0.977,0.989,0.989,0.989,14091.0,14091.0,14091.0,0.8,0.051,1.0,0.214,0.0,0.214,1.0,0.8646907216494846,6,1000.0
ceylon,junit,0.5,5432.0,87.0,2089.0,2089.0,73.0,1485.0,0.0,0.0,0.483,0.793,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,6267.0,7342.908,12952.184,0.767,0.084,0.839,0.042,0.026,0.068,0.8390804597701149,0.38457290132547867,6,1000.0
ceylon,junit,1.0,5432.0,87.0,3846.0,3846.0,86.0,3703.0,0.0,0.425,0.471,0.609,0.816,0.908,0.943,0.966,0.989,0.989,0.989,0.989,11538.0,11574.46,11538.0,0.821,0.06,0.989,0.143,0.0,0.143,0.9885057471264368,0.7080265095729014,6,1000.0
ceylon,mct,0.1,6091.0,23.0,2841.0,2841.0,14.0,1786.0,0.0,0.0,0.391,0.522,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8523.0,11066.478,14997.609,0.555,0.11,0.609,0.144,0.153,0.297,0.6086956521739131,0.466425874240683,6,1000.0
ceylon,mct,0.2,6091.0,23.0,6091.0,6091.0,23.0,5123.0,0.159,0.109,0.391,0.478,0.565,0.609,0.696,0.87,0.87,0.913,1.0,1.0,18273.0,18273.0,18273.0,0.7,0.101,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
ceylon,mct,0.3,6091.0,23.0,4251.0,4251.0,16.0,2766.0,0.0,0.0,0.348,0.435,0.522,0.609,0.696,0.696,0.696,0.696,0.696,0.696,12753.0,13873.0,16375.5,0.572,0.007,0.696,0.322,0.093,0.415,0.6956521739130435,0.6979149564931867,6,1000.0
ceylon,mct,0.4,6091.0,23.0,1232.0,1232.0,10.0,587.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3696.0,9188.783,13411.627,0.421,0.036,0.435,0.027,0.319,0.347,0.43478260869565216,0.2022656378263011,6,1000.0
ceylon,mct,0.5,6091.0,23.0,4251.0,4251.0,16.0,2395.0,0.0,0.0,0.348,0.478,0.565,0.696,0.696,0.696,0.696,0.696,0.696,0.696,12753.0,13873.0,16375.5,0.596,0.01,0.696,0.322,0.093,0.415,0.6956521739130435,0.6979149564931867,6,1000.0
ceylon,mct,1.0,6091.0,23.0,3478.0,3478.0,16.0,2423.0,0.0,0.0,0.391,0.522,0.652,0.696,0.696,0.696,0.696,0.696,0.696,0.696,10434.0,12024.522,15578.344,0.618,0.084,0.696,0.216,0.093,0.308,0.6956521739130435,0.5710064028895091,6,1000.0
elasticsearch,junit,0.1,5432.0,87.0,1105.0,1105.0,70.0,1032.0,0.0,0.0,0.575,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,3315.0,5006.011,11968.868,0.759,0.111,0.805,0.012,0.038,0.05,0.8045977011494253,0.2034241531664212,6,1000.0
elasticsearch,junit,0.2,5432.0,87.0,1526.0,1526.0,70.0,1078.0,0.0,0.0,0.529,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,4578.0,6104.483,12389.881,0.754,0.102,0.805,0.023,0.038,0.061,0.8045977011494253,0.2809278350515464,6,1000.0
elasticsearch,junit,0.3,5432.0,87.0,1232.0,1232.0,70.0,954.0,0.0,0.0,0.494,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,3696.0,5337.379,12095.872,0.755,0.121,0.805,0.015,0.038,0.053,0.8045977011494253,0.2268041237113402,6,1000.0
elasticsearch,junit,0.4,5432.0,87.0,1372.0,1372.0,70.0,1079.0,0.0,0.0,0.506,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,4116.0,5702.667,12235.876,0.747,0.092,0.805,0.018,0.038,0.056,0.8045977011494253,0.25257731958762886,6,1000.0
elasticsearch,junit,0.5,5432.0,87.0,1696.0,1696.0,72.0,1213.0,0.0,0.0,0.506,0.747,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,5088.0,6376.276,12559.544,0.763,0.105,0.828,0.028,0.03,0.058,0.8275862068965517,0.3122238586156112,6,1000.0
elasticsearch,junit,1.0,5432.0,87.0,1526.0,1526.0,70.0,1050.0,0.0,0.0,0.506,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,4578.0,6104.483,12389.881,0.749,0.108,0.805,0.023,0.038,0.061,0.8045977011494253,0.2809278350515464,6,1000.0
elasticsearch,mct,0.1,6091.0,23.0,1105.0,1105.0,12.0,1066.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8084.217,13277.262,0.499,0.026,0.522,0.022,0.229,0.25,0.5217391304347826,0.18141520275816778,6,1000.0
elasticsearch,mct,0.2,6091.0,23.0,1526.0,1526.0,14.0,826.0,0.0,0.0,0.522,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,4578.0,8150.609,13672.336,0.579,0.022,0.609,0.041,0.153,0.195,0.6086956521739131,0.25053357412575933,6,1000.0
