dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,junit,0.1,5432.0,87.0,3286.0,2860.0,85.0,2452.0,0.0,0.584,0.782,0.897,0.908,0.966,0.977,0.977,0.977,0.977,0.977,0.977,9006.0,9104.667,11152.0,0.918,0.322,0.977,0.105,0.001,0.105,0.9770114942528736,0.6049337260677466,1.0,110,1.05
MapDB,mct,0.1,6091.0,23.0,2985.0,2970.0,13.0,1126.0,0.0,0.0,0.522,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,8925.0,11625.87,15124.867,0.551,0.274,0.565,0.159,0.189,0.348,0.5652173913043478,0.4900673124281727,1.0,110,1.05
android,junit,0.1,5432.0,87.0,3124.0,2860.0,80.0,1749.0,0.0,0.0,0.793,0.839,0.874,0.92,0.92,0.92,0.92,0.92,0.92,0.92,8844.0,9215.402,13387.875,0.877,0.378,0.92,0.095,0.006,0.101,0.9195402298850575,0.5751104565537555,1.0,110,1.05
android,mct,0.1,6091.0,23.0,3654.0,2970.0,20.0,2691.0,0.0,0.0,0.609,0.652,0.652,0.826,0.87,0.87,0.87,0.87,0.87,0.87,9594.0,10229.739,13249.5,0.768,0.285,0.87,0.238,0.017,0.255,0.8695652173913043,0.5999014940075521,1.0,110,1.05
anttlr4,junit,0.1,5432.0,87.0,4126.0,2860.0,87.0,3503.0,0.355,0.491,0.759,0.862,0.897,0.943,0.966,0.966,1.0,1.0,1.0,1.0,9846.0,9846.0,9846.0,0.92,0.368,1.0,0.165,0.0,0.165,1.0,0.7595729013254786,1.0,110,1.05
anttlr4,mct,0.1,6091.0,23.0,4165.0,2970.0,20.0,3595.0,0.0,0.0,0.565,0.565,0.652,0.739,0.826,0.87,0.87,0.87,0.87,0.87,10105.0,10607.435,12994.0,0.738,0.284,0.87,0.309,0.017,0.326,0.8695652173913043,0.6837957642423247,1.0,110,1.05
broadleaf,junit,0.1,5432.0,87.0,3541.0,2860.0,83.0,2549.0,0.0,0.481,0.77,0.874,0.92,0.943,0.954,0.954,0.954,0.954,0.954,0.954,9261.0,9434.885,12570.25,0.897,0.313,0.954,0.122,0.002,0.124,0.9540229885057471,0.6518777614138439,1.0,110,1.05
broadleaf,mct,0.1,6091.0,23.0,3432.0,2970.0,17.0,1594.0,0.0,0.0,0.522,0.696,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,9372.0,10759.304,14523.812,0.691,0.058,0.739,0.21,0.068,0.278,0.7391304347826086,0.5634542768018388,1.0,110,1.05
ceylon,junit,0.1,5432.0,87.0,3753.0,2860.0,84.0,3309.0,0.0,0.542,0.736,0.839,0.885,0.931,0.954,0.954,0.954,0.954,0.954,0.954,9473.0,9588.793,11991.5,0.902,0.349,0.966,0.137,0.001,0.138,0.9655172413793104,0.6909057437407953,1.0,110,1.05
ceylon,mct,0.1,6091.0,23.0,3420.0,2970.0,16.0,2439.0,0.0,0.0,0.522,0.565,0.609,0.652,0.696,0.696,0.696,0.696,0.696,0.696,9360.0,10985.826,14618.531,0.641,0.242,0.696,0.208,0.093,0.301,0.6956521739130435,0.5614841569528813,1.0,110,1.05
elasticsearch,junit,0.1,5432.0,87.0,4526.0,2860.0,87.0,3505.0,0.355,0.41,0.736,0.805,0.828,0.885,0.897,0.966,1.0,1.0,1.0,1.0,10246.0,10246.0,10246.0,0.884,0.216,1.0,0.199,0.0,0.199,1.0,0.8332106038291606,1.0,110,1.05
elasticsearch,mct,0.1,6091.0,23.0,6070.0,2970.0,23.0,4689.0,0.23,0.183,0.478,0.522,0.783,0.87,0.87,0.913,0.913,1.0,1.0,1.0,12010.0,12010.0,12010.0,0.787,0.051,1.0,0.656,0.0,0.656,1.0,0.9965522902643245,1.0,110,1.05
hazelcast,junit,0.1,5432.0,87.0,4763.0,2860.0,87.0,3642.0,0.33,0.501,0.69,0.77,0.851,0.885,0.954,0.977,1.0,1.0,1.0,1.0,10483.0,10483.0,10483.0,0.886,0.291,1.0,0.22,0.0,0.22,1.0,0.876840942562592,1.0,110,1.05
