dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
MapDB,junit,0.1,5432.0,87.0,3478.0,3478.0,85.0,3430.0,0.0,0.472,0.414,0.54,0.747,0.897,0.966,0.966,0.966,0.966,0.966,0.966,10434.0,10523.839,12388.0,0.809,0.097,0.977,0.117,0.001,0.118,0.9770114942528736,0.6402798232695139,6,1000.0
MapDB,junit,0.2,5432.0,87.0,3144.0,3144.0,84.0,2407.0,0.0,0.507,0.471,0.586,0.839,0.92,0.966,0.966,0.966,0.966,0.966,0.966,9432.0,9589.793,12864.0,0.833,0.1,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,0.3,5432.0,87.0,1105.0,1105.0,44.0,1004.0,0.0,0.0,0.448,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,3315.0,7592.264,11969.0,0.487,0.085,0.506,0.012,0.244,0.256,0.5057471264367817,0.2034241531664212,6,1000.0
MapDB,junit,0.4,5432.0,87.0,3478.0,3478.0,85.0,3048.0,0.0,0.464,0.437,0.667,0.851,0.885,0.954,0.977,0.977,0.977,0.977,0.977,10434.0,10523.839,12388.0,0.838,0.072,0.977,0.117,0.001,0.118,0.9770114942528736,0.6402798232695139,6,1000.0
MapDB,junit,0.5,5432.0,87.0,3478.0,3478.0,84.0,2411.0,0.0,0.506,0.483,0.598,0.782,0.885,0.966,0.966,0.966,0.966,0.966,0.966,10434.0,10568.759,13365.0,0.826,0.085,0.966,0.117,0.001,0.118,0.9655172413793104,0.6402798232695139,6,1000.0
MapDB,junit,1.0,5432.0,87.0,4251.0,4251.0,85.0,3362.0,0.0,0.504,0.437,0.644,0.805,0.908,0.966,0.966,0.977,0.977,0.977,0.977,12753.0,12807.299,13934.0,0.833,0.087,0.977,0.175,0.001,0.176,0.9770114942528736,0.7825846833578792,6,1000.0
MapDB,mct,0.1,6091.0,23.0,3478.0,3478.0,16.0,2339.0,0.0,0.0,0.435,0.478,0.652,0.696,0.696,0.696,0.696,0.696,0.696,0.696,10434.0,12024.522,15578.344,0.597,0.007,0.696,0.216,0.093,0.308,0.6956521739130435,0.5710064028895091,6,1000.0
MapDB,mct,0.2,6091.0,23.0,2841.0,2841.0,14.0,1866.0,0.0,0.0,0.391,0.478,0.565,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8523.0,11066.478,14997.609,0.555,0.041,0.609,0.144,0.153,0.297,0.6086956521739131,0.466425874240683,6,1000.0
MapDB,mct,0.3,6091.0,23.0,1526.0,1526.0,10.0,709.0,0.0,0.0,0.348,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,4578.0,9738.435,13705.771,0.419,0.026,0.435,0.041,0.319,0.361,0.43478260869565216,0.25053357412575933,6,1000.0
MapDB,mct,0.4,6091.0,23.0,1696.0,1696.0,12.0,1091.0,0.0,0.0,0.391,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,5088.0,9291.913,13869.416,0.49,0.033,0.522,0.051,0.229,0.28,0.5217391304347826,0.2784436053193236,6,1000.0
