1,2,2542,1,92,0.0,0,0.13681511738971278,0,0.0
2,3,2542,3,92,1.0,1,0.13302452006843676,1.0,0.010869565217391304
3,4,2542,6,92,2.0,2,0.16392076302659386,1.0,0.021739130434782608
4,5,2542,10,92,3.0,3,0.2392275116119305,1.0,0.03260869565217391
5,6,2542,15,92,5.0,5,0.26731903693895226,1.0,0.05434782608695652
6,7,2542,21,92,8.0,8,0.36184527629789603,1.0,0.08695652173913043
7,8,2542,28,92,14.0,14,0.5058216883825487,1.0,0.15217391304347827
8,9,2542,36,92,19.0,19,0.5920652279929522,1.0,0.20652173913043478
9,10,2542,45,92,24.0,24,0.6229470061887679,1.0,0.2608695652173913
10,11,2542,55,92,30.0,30,0.6579172862941544,1.0,0.32608695652173914
11,13,2542,66,92,33.0,33,0.6827965518027378,1.0,0.358695652173913
12,15,2542,79,92,38.0,38,0.7006354981737265,1.0,0.41304347826086957
13,17,2542,94,92,44.0,44,0.733545265321783,1.0,0.4782608695652174
14,19,2542,111,92,51.0,51,0.7514880643658733,1.0,0.5543478260869565
15,21,2542,130,92,53.0,53,0.7766740139902232,1.0,0.5760869565217391
16,24,2542,151,92,55.0,55,0.7941032801633992,1.0,0.5978260869565217
17,27,2542,175,92,58.0,58,0.8042694682427723,1.0,0.6304347826086957
18,30,2542,202,92,61.0,61,0.8215963810652172,1.0,0.6630434782608695
19,33,2542,232,92,61.0,61,0.8351674217389365,1.0,0.6630434782608695
20,37,2542,262,92,63.2,63,0.8249247437909109,0.9968354430379747,0.6847826086956522
21,41,2542,292,92,64.43333333333334,64,0.8299275317062142,0.9932747025349198,0.6956521739130435
22,46,2542,322,92,68.53333333333333,67,0.8372844901021956,0.977626459143969,0.7282608695652174
23,51,2542,352,92,68.53333333333333,67,0.853283781120267,0.977626459143969,0.7282608695652174
24,57,2542,382,92,70.23333333333333,68,0.8465965857935007,0.9682012339819649,0.7391304347826086
25,63,2542,412,92,70.23333333333333,68,0.8452395923248569,0.9682012339819649,0.7391304347826086
26,70,2542,442,92,70.23333333333333,68,0.8374719389522433,0.9682012339819649,0.7391304347826086
27,77,2542,472,92,70.23333333333333,68,0.8334716764576472,0.9682012339819649,0.7391304347826086
28,85,2542,502,92,70.23333333333333,68,0.8322204322677081,0.9682012339819649,0.7391304347826086
29,94,2542,532,92,70.23333333333333,68,0.8271326819535685,0.9682012339819649,0.7391304347826086
30,104,2542,562,92,70.23333333333333,68,0.8237561876143085,0.9682012339819649,0.7391304347826086
31,115,2542,592,92,70.23333333333333,68,0.823740962435437,0.9682012339819649,0.7391304347826086
32,127,2542,622,92,70.23333333333333,68,0.8230447726284494,0.9682012339819649,0.7391304347826086
33,140,2542,652,92,70.23333333333333,68,0.8236732827081633,0.9682012339819649,0.7391304347826086
34,154,2542,682,92,70.23333333333333,68,0.8196164265512409,0.9682012339819649,0.7391304347826086
35,170,2542,712,92,70.23333333333333,68,0.818805727137128,0.9682012339819649,0.7391304347826086
36,187,2542,742,92,70.23333333333333,68,0.8134526701903578,0.9682012339819649,0.7391304347826086
37,206,2542,772,92,70.23333333333333,68,0.8159212310370056,0.9682012339819649,0.7391304347826086
38,227,2542,802,92,70.23333333333333,68,0.8111251248915989,0.9682012339819649,0.7391304347826086
