1,2,5432,1,87,1,0.14748779769632275,0.011494252873563218
2,3,5432,3,87,3,0.15750028872447602,0.034482758620689655
3,4,5432,6,87,4,0.12962136453811063,0.04597701149425287
4,5,5432,10,87,8,0.17201380331668914,0.09195402298850575
5,6,5432,15,87,10,0.18689584915395066,0.11494252873563218
6,7,5432,21,87,12,0.20104735219213063,0.13793103448275862
7,8,5432,28,87,13,0.19403735792192428,0.14942528735632185
8,9,5432,36,87,14,0.21161469045441625,0.16091954022988506
9,10,5432,45,87,15,0.21504876296257044,0.1724137931034483
10,11,5432,55,87,16,0.2217600051754491,0.1839080459770115
11,13,5432,66,87,18,0.22615496741513408,0.20689655172413793
12,15,5432,79,87,19,0.23651623723814388,0.21839080459770116
13,17,5432,94,87,20,0.23216080574441164,0.22988505747126436
14,19,5432,111,87,22,0.24286599269395656,0.25287356321839083
15,21,5432,130,87,23,0.2502747229069217,0.26436781609195403
16,24,5432,151,87,23,0.2519149779803783,0.26436781609195403
17,27,5432,175,87,24,0.2540267740403211,0.27586206896551724
18,30,5432,202,87,25,0.2590373327576696,0.28735632183908044
19,33,5432,232,87,25,0.2599082200809184,0.28735632183908044
20,37,5432,265,87,26,0.2603260355987543,0.2988505747126437
21,41,5432,302,87,31,0.2684590050083187,0.3563218390804598
22,46,5432,343,87,34,0.29404623690365467,0.39080459770114945
23,51,5432,389,87,34,0.2963903114938151,0.39080459770114945
24,57,5432,440,87,34,0.29701427052420415,0.39080459770114945
25,63,5432,497,87,35,0.2955735095877964,0.40229885057471265
26,70,5432,560,87,36,0.29659138111647165,0.41379310344827586
27,77,5432,630,87,38,0.29595857359809574,0.4367816091954023
28,85,5432,707,87,38,0.29303640085893773,0.4367816091954023
29,94,5432,792,87,39,0.2914051561760869,0.4482758620689655
30,104,5432,886,87,43,0.28982270221691026,0.4942528735632184
31,115,5432,990,87,45,0.3153832083285401,0.5172413793103449
32,127,5432,1105,87,45,0.3156829657002582,0.5172413793103449
33,140,5432,1232,87,52,0.31501639898349487,0.5977011494252874
34,154,5432,1372,87,63,0.33113568905812113,0.7241379310344828
35,170,5432,1526,87,66,0.36417188376908993,0.7586206896551724
36,187,5432,1696,87,70,0.35071504705322365,0.8045977011494253
37,206,5432,1883,87,77,0.3571888025579803,0.8850574712643678
38,227,5432,2089,87,77,0.373532673745291,0.8850574712643678
39,250,5432,2316,87,77,0.37589766130992947,0.8850574712643678
40,275,5432,2566,87,82,0.3769371801764674,0.9425287356321839
41,303,5432,2841,87,84,0.3551856023483128,0.9655172413793104
42,334,5432,3144,87,84,0.3553033618286167,0.9655172413793104
43,368,5432,3478,87,84,0.35597192962871044,0.9655172413793104
44,405,5432,3846,87,84,0.35521760799655927,0.9655172413793104
45,446,5432,4251,87,84,0.3549704316191843,0.9655172413793104
46,491,5432,4697,87,85,0.35375276028552527,0.9770114942528736
47,541,5432,5188,87,87,0.35189889620016096,1.0
